i,x1[i],T1[i],P1[i],v1[i],rho1[i],alfa1[i],T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
806,0.403,961.794093799054,16099824.7789142,6.4230102587497,27.2567581785497,4478.690342326,713.645599244679,14999074.8055886,12.5922230019348,5.05565833983216,3285.5508561469,860.095706612287,750.069547740098
807,0.4035,961.76736157091,16099824.5425007,6.4228318310948,27.2575153771764,4478.68295156002,713.968533897429,14999073.9823968,12.597921851039,5.05337134088569,3285.77835487544,860.167986083054,750.257425366334
808,0.404,961.740654770254,16099824.3060662,6.42265357325177,27.258271897179,4478.67556692777,714.290768751151,14999073.1597565,12.6036083524027,5.05109135866015,3286.00517755785,860.238506654248,750.352147103136
809,0.4045,961.713973669479,16099824.0696104,6.42247548703981,27.2590277307196,4478.6681884053,714.61208628943,14999072.3379126,12.6092786677558,5.04881991382689,3286.23132559884,860.310086386848,750.538352976676
810,0.405,961.687317804045,16099823.8331337,6.42229756935646,27.2597828908491,4478.66081596806,714.932705013909,14999071.5166204,12.6149366527467,5.04655544369276,3286.45680096057,860.379924055027,750.632092565464
811,0.4055,961.66068744186,16099823.5966359,6.42211982199098,27.260537369857,4478.65344959208,715.252409011837,14999070.6961228,12.6205784974028,5.04429945504155,3286.68160503241,860.450803646476,750.816630659614
812,0.406,961.634082122799,16099823.3601175,6.42194224187039,27.2612911806718,4478.64608925278,715.571415179686,14999069.8761768,12.6262080290485,5.04205039947815,3286.90573975681,860.51995779553,750.909387096245
813,0.4065,961.607502110335,16099823.1235782,6.42176483075432,27.2620443157088,4478.63873492614,715.889509197069,14999069.0570237,12.6318214658092,5.03980977003777,3287.12920650797,860.590136825568,751.092261358622
814,0.407,961.580946948703,16099822.8870185,6.42158758559891,27.2627967877755,4478.63138658755,716.206906366518,14999068.2384223,12.6374226068835,5.03757603248009,3287.35200720884,860.658606824452,751.184033646967
815,0.4075,961.554416896992,16099822.6504381,6.42141050813453,27.2635485894118,4478.62404421294,716.523393948782,14999067.4206121,12.6430076982967,5.03535066622912,3287.57414321865,860.72808485536,751.365247999583
816,0.408,961.527911503742,16099822.4138375,6.42123359534604,27.2642997333054,4478.61670777765,716.839185663609,14999066.6033536,12.6485805113184,5.03313215105769,3287.79561644106,860.79587005788,751.456035151403
817,0.4085,961.501431023709,16099822.1772163,6.42105684893489,27.2650502121197,4478.6093772576,717.154070341726,14999065.7868845,12.654137319677,5.03092195291453,3288.01642822051,860.864646634302,751.63559349074
818,0.409,961.474975009684,16099821.9405753,6.42088026591433,27.2658000384243,4478.60205262808,717.468260131191,14999064.9709672,12.6596818669089,5.02871856544548,3288.23658044155,860.931746378908,751.725394525569
819,0.4095,961.448543712137,16099821.7039139,6.42070384795718,27.2665492050043,4478.59473386496,717.78154542162,14999064.1558376,12.6652104542498,5.02652344125842,3288.45607443403,860.999821027666,751.903300722653
