i,x1[i],Tcc,Calor cambra,Calor extreta pel fluid,Calor intercanviada amb l'aire exterior,T3[i],P3[i],v3[i],rho3[i],alfa3[i],T2[i],T4[i]
267,0.333749999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,329.175391018073,14999932.49804,2.60842905401646,11.0485523590474,1116.6266584065,692.825809239377,329.200364748928
268,0.334999999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,329.624165803712,14999932.2165393,2.61198525340811,11.033509833395,1116.82297660411,693.070504799585,329.646968870295
269,0.336249999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,330.072726623135,14999931.9348225,2.61553975747447,11.0185153545473,1117.018983627,693.315172644142,330.09333611527
270,0.337499999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,330.52107373493,14999931.6528894,2.61909256826467,11.0035686891571,1117.21468031771,693.559812473329,330.539465909643
271,0.338749999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,330.969207394911,14999931.3707402,2.62264368780586,10.9886696054667,1117.41006751646,693.804423978495,330.985357622346
272,0.339999999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,331.417127856029,14999931.0883748,2.62619311810253,10.9738178732963,1117.60514606162,694.04900684141,331.431010562424
273,0.341249999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,331.864835368284,14999930.8057933,2.62974086113574,10.9590132640349,1117.79991678849,694.293560733564,331.876423975848
274,0.342499999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,332.312330178625,14999930.5229958,2.63328691886243,10.9442555506299,1117.99438053071,694.538085315429,332.321597042141
275,0.343749999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,332.759612530854,14999930.2399822,2.63683129321454,10.9295445075774,1118.18853811907,694.782580235656,332.76652887082
276,0.344999999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,333.20668266551,14999929.9567527,2.64037398609822,10.9148799109132,1118.38239038192,695.027045130224,333.211218497633
277,0.346249999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,333.653540819761,14999929.6733071,2.64391499939283,10.9002615382036,1118.57593814509,695.271479621521,333.655664880592
278,0.347499999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,334.100187227275,14999929.3896456,2.64745433495007,10.8856891685366,1118.76918223192,695.515883317365,334.099866895773
279,0.348749999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,334.546622118097,14999929.1057683,2.6509919945929,10.8711625825135,1118.96212346291,695.760255809954,334.543823332886
280,0.349999999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,334.992845718509,14999928.821675,2.65452798011444,10.856681562241,1119.15476265583,696.004596674737,334.98753289059
281,0.351249999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,335.438858250883,14999928.5373659,2.65806229327686,10.8422458913228,1119.34710062599,696.248905469211,335.430994171545
282,0.352499999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,335.884659933532,14999928.2528411,2.66159493581014,10.8278553548529,1119.53913818569,696.493181731626,335.874205677184
283,0.353749999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,336.330250980538,14999927.9681005,2.66512590941077,10.8135097394077,1119.73087614406,696.737424979603,336.31716580219
284,0.354999999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,336.775631601589,14999927.6831441,2.66865521574036,10.7992088330399,1119.9223153076,696.981634708648,336.759872828657
285,0.356249999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,337.220802001786,14999927.3979721,2.67218285642425,10.7849524252714,1120.11345647947,697.225810390562,337.202324919924
286,0.357499999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,337.665762381457,14999927.1125845,2.67570883304987,10.7707403070878,1120.30430045986,697.469951471741,337.644520114057
287,0.358749999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,338.110512935942,14999926.8269813,2.67923314716521,10.7565722709328,1120.49484804575,697.714057371343,338.086456316964
288,0.359999999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,338.555053855382,14999926.5411625,2.68275580027699,10.7424481107023,1120.68510003055,697.958127479342,338.528131295117
289,0.361249999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,338.999385324482,14999926.2551282,2.68627679384891,10.7283676217404,1120.87505720449,698.202161154423,338.96954266786
290,0.362499999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,339.443507522269,14999925.9688785,2.68979612929965,10.7143306008344,1121.06472035418,698.446157721738,339.410687899292
291,0.363749999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,339.88742062183,14999925.6824134,2.69331380800081,10.7003368462115,1121.25409026239,698.690116470501,339.851564289673
292,0.364999999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,340.331124790037,14999925.3957329,2.69682983127475,10.6863861575347,1121.44316770843,698.934036651404,340.292168966357
293,0.366249999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,340.774620187253,14999925.1088371,2.70034420039228,10.6724783359005,1121.63195346783,699.17791747385,340.732498874205
294,0.367499999999998,1327.93862141015,132801.671051487,132810.070477618,-8.3994261305971,341.217906967026,14999924.8217261,2.70385691657017,10.6586131838361,1121.82044831177,699.421758102995,341.172550765454
